time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2014-03-01T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,2014-03-01T00:00:00.0000000Z,2014-03-31T23:59:59.0000000Z,551.800000000,710.000000000,436.000000000,454.830000000,493503.049180390,443052
2014-04-01T00:00:00.0000000Z,2014-05-01T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,2014-04-30T23:57:06.0000000Z,454.810000000,548.000000000,339.790000000,448.850000000,515562.994749770,380367
2014-05-01T00:00:00.0000000Z,2014-06-01T00:00:00.0000000Z,2014-05-01T00:00:32.0000000Z,2014-05-31T23:58:30.0000000Z,449.000000000,629.400000000,420.270000000,627.800000000,300621.560146020,269432
2014-06-01T00:00:00.0000000Z,2014-07-01T00:00:00.0000000Z,2014-06-01T00:04:32.0000000Z,2014-06-30T23:59:01.0000000Z,627.800000000,683.260000000,538.380000000,641.110000000,289605.158297700,242964
2014-07-01T00:00:00.0000000Z,2014-08-01T00:00:00.0000000Z,2014-07-01T00:00:11.0000000Z,2014-07-31T23:59:50.0000000Z,640.000000000,658.880000000,555.900000000,582.040000000,160506.845253610,144660
2014-08-01T00:00:00.0000000Z,2014-09-01T00:00:00.0000000Z,2014-08-01T00:00:08.0000000Z,2014-08-31T23:59:52.0000000Z,583.540000000,607.200000000,442.000000000,479.040000000,315108.531777670,217512
2014-09-01T00:00:00.0000000Z,2014-10-01T00:00:00.0000000Z,2014-09-01T00:00:14.0000000Z,2014-09-30T23:59:39.8430000Z,479.010000000,497.000000000,365.200000000,391.090000000,344345.896092390,249410
2014-10-01T00:00:00.0000000Z,2014-11-01T00:00:00.0000000Z,2014-10-01T00:00:04.9700000Z,2014-10-31T23:59:54.9930000Z,389.560000000,417.990000000,275.000000000,337.990000000,587555.035707940,321639
2014-11-01T00:00:00.0000000Z,2014-12-01T00:00:00.0000000Z,2014-11-01T00:00:14.3070000Z,2014-11-30T23:59:07.8000000Z,337.990000000,453.920000000,316.610000000,377.010000000,439291.086353510,258107
2014-12-01T00:00:00.0000000Z,2015-01-01T00:00:00.0000000Z,2014-12-01T00:00:05.8170000Z,2014-12-31T23:59:44.8330000Z,376.090000000,383.000000000,304.990000000,321.000000000,295013.157937000,183869
2015-01-01T00:00:00.0000000Z,2015-02-01T00:00:00.0000000Z,2015-01-01T00:00:22.3630000Z,2015-01-31T23:59:33.4400000Z,321.000000000,321.000000000,152.400000000,216.900000000,778659.397108650,349278
2015-02-01T00:00:00.0000000Z,2015-03-01T00:00:00.0000000Z,2015-02-01T00:00:57.8630000Z,2015-02-28T23:59:22.2770000Z,218.040000000,267.920000000,208.480000000,253.470000000,342997.370870320,172783
2015-03-01T00:00:00.0000000Z,2015-04-01T00:00:00.0000000Z,2015-03-01T00:00:33.1670000Z,2015-03-31T23:59:28.3230000Z,253.450000000,297.950000000,236.400000000,244.240000000,297236.337564540,167097
2015-04-01T00:00:00.0000000Z,2015-05-01T00:00:00.0000000Z,2015-04-01T00:01:01.2400000Z,2015-04-30T23:59:42.2700000Z,243.930000000,262.980000000,210.000000000,236.200000000,255893.534852470,209930
2015-05-01T00:00:00.0000000Z,2015-06-01T00:00:00.0000000Z,2015-05-01T00:00:04.5600000Z,2015-05-31T23:58:42.3470000Z,236.470000000,247.010000000,227.010000000,228.910000000,199179.782138650,129880
2015-06-01T00:00:00.0000000Z,2015-07-01T00:00:00.0000000Z,2015-06-01T00:00:50.8030000Z,2015-06-30T23:59:53.0830000Z,228.910000000,268.000000000,219.030000000,262.500000000,231725.576165330,527808
2015-07-01T00:00:00.0000000Z,2015-08-01T00:00:00.0000000Z,2015-07-01T00:00:08.7370000Z,2015-07-31T23:59:06.2670000Z,262.580000000,317.990000000,252.400000000,284.330000000,396776.228710400,143661
2015-08-01T00:00:00.0000000Z,2015-09-01T00:00:00.0000000Z,2015-08-01T00:01:15.0700000Z,2015-08-31T23:56:29.7070000Z,284.690000000,285.880000000,198.120000000,229.860000000,418642.173090590,129208
2015-09-01T00:00:00.0000000Z,2015-10-01T00:00:00.0000000Z,2015-09-01T00:00:03.1430000Z,2015-09-30T23:59:56.1070000Z,230.250000000,246.240000000,223.000000000,236.200000000,569388.802100400,156471
2015-10-01T00:00:00.0000000Z,2015-11-01T00:00:00.0000000Z,2015-10-01T00:00:09.2330000Z,2015-10-31T23:59:55.6930000Z,235.870000000,334.670000000,235.000000000,310.180000000,716224.145434030,182839
